Time;CH 1 Object Temperature;CH 1 Sink Temperature;CH 1 Target Object Temperature;CH 1 (Ramp) Nominal Temperature;CH 1 Thermal Power Model Current;CH 1 Actual Output Current;CH 1 Actual Output Voltage;CH 1 PID Control Variable;CH 2 Object Temperature;CH 2 Sink Temperature;CH 2 Target Object Temperature;CH 2 (Ramp) Nominal Temperature;CH 2 Thermal Power Model Current;CH 2 Actual Output Current;CH 2 Actual Output Voltage;CH 2 PID Control Variable;Driver Input Voltage;Device Temperature;Error Number;Error Instance;Error Parameter;CH1 FAN Speed;CH2 FAN Speed;
2018-02-06 10:12:46;25.02861;25;25;25;0.6523587;0.6095415;0.863434;34.87142;;;0;0;0;0;0;0;18.54684;37.96875;0;0;0;0;0;
2018-02-06 10:13:46;25.01225;25;25;25;0.6343945;0.6340549;0.8872163;33.9427;;;0;0;0;0;0;0;18.55014;37.90625;0;0;0;0;0;
2018-02-06 10:14:46;25.03096;25;25;25;0.3895781;0.3895641;0.5713615;20.09187;;;0;0;0;0;0;0;18.53462;37.90625;0;0;0;0;0;
2018-02-06 10:15:46;25.03783;25;25;25;0.4398173;0.4397324;0.6303644;22.80218;;;0;0;0;0;0;0;18.53915;37.8125;0;0;0;0;0;
2018-02-06 10:16:46;24.97185;25;25;25;0.7179875;0.7187479;1.015588;39.07092;;;0;0;0;0;0;0;18.54808;37.75;0;0;0;0;0;
2018-02-06 10:17:46;24.963;25;25;25;0.8313755;0.8161129;1.127063;45.85991;;;0;0;0;0;0;0;18.56401;37.75;0;0;0;0;0;
2018-02-06 10:18:46;24.95164;25;25;25;0.9042048;0.8867085;1.205981;50.34328;;;0;0;0;0;0;0;18.55508;37.75;0;0;0;0;0;
2018-02-06 10:19:46;24.98082;25;25;25;0.7444872;0.7432719;1.037607;40.56908;;;0;0;0;0;0;0;18.56017;37.8125;0;0;0;0;0;
2018-02-06 10:20:46;25.02208;25;25;25;0.7175431;0.7198397;1.030021;38.71037;;;0;0;0;0;0;0;18.55453;37.8125;0;0;0;0;0;
2018-02-06 10:21:46;25.01479;25;25;25;0.7291169;0.7447448;1.057895;39.43793;;;0;0;0;0;0;0;18.55714;37.75;0;0;0;0;0;
2018-02-06 10:22:46;25.04259;25;25;25;0.6655214;0.6478732;0.9263991;35.54142;;;0;0;0;0;0;0;18.5544;37.71875;0;0;0;0;0;
2018-02-06 10:23:46;24.99553;25;25;25;0.8035659;0.7867081;1.114215;43.97618;;;0;0;0;0;0;0;18.5647;37.75;0;0;0;0;0;
2018-02-06 10:24:46;25.00008;25;25;25;0.8403364;0.8293851;1.161833;46.14972;;;0;0;0;0;0;0;18.56937;37.6875;0;0;0;0;0;
2018-02-06 10:25:46;25.02122;25;25;25;0.803327;0.7937651;1.132736;43.79232;;;0;0;0;0;0;0;18.56895;37.6875;0;0;0;0;0;
2018-02-06 10:26:46;25.01216;25;25;25;0.8591248;0.8428423;1.20175;47.20306;;;0;0;0;0;0;0;18.5739;37.75;0;0;0;0;0;
2018-02-06 10:27:46;25.00349;25;25;25;0.9368251;0.9383895;1.326666;51.99134;;;0;0;0;0;0;0;18.57596;37.6875;0;0;0;0;0;
2018-02-06 10:28:46;24.9713;25;25;25;1.019091;1.027484;1.437611;57.2984;;;0;0;0;0;0;0;18.58255;37.71875;0;0;0;0;0;
2018-02-06 10:29:46;25.02892;25;25;25;0.807763;0.8119523;1.158139;44.00676;;;0;0;0;0;0;0;18.57321;37.6875;0;0;0;0;0;
2018-02-06 10:30:46;25.00639;25;25;25;0.8687299;0.907501;1.291476;47.82176;;;0;0;0;0;0;0;18.57816;37.625;0;0;0;0;0;
2018-02-06 10:31:46;25.05104;25;25;25;0.7852936;0.785574;1.14925;42.52139;;;0;0;0;0;0;0;18.57486;37.6875;0;0;0;0;0;
2018-02-06 10:32:46;25.00975;25;25;25;0.8920296;0.8892873;1.271167;49.21338;;;0;0;0;0;0;0;18.57431;37.625;0;0;0;0;0;
2018-02-06 10:33:46;25.02174;25;25;25;0.9065005;0.9024773;1.277473;50.01613;;;0;0;0;0;0;0;18.58035;37.65625;0;0;0;0;0;
2018-02-06 10:34:46;25.03749;25;25;25;0.7937303;0.7842165;1.130668;43.11287;;;0;0;0;0;0;0;18.57033;37.53125;0;0;0;0;0;
2018-02-06 10:35:46;24.99397;25;25;25;0.969171;0.9536685;1.344118;54.04652;;;0;0;0;0;0;0;18.57788;37.53125;0;0;0;0;0;
2018-02-06 10:36:46;25.04066;25;25;25;0.8031856;0.8263795;1.183759;43.65603;;;0;0;0;0;0;0;18.57678;37.5625;0;0;0;0;0;
2018-02-06 10:37:46;25.01027;25;25;25;0.8981386;0.9104171;1.313816;49.58175;;;0;0;0;0;0;0;18.58516;37.5625;0;0;0;0;0;
2018-02-06 10:38:46;24.97774;25;25;25;1.024903;1.039617;1.487425;57.61808;;;0;0;0;0;0;0;18.60081;37.46875;0;0;0;0;0;
2018-02-06 10:39:46;24.95082;25;25;25;1.305694;1.296774;1.80222;75.83478;;;0;0;0;0;0;0;18.61098;37.46875;0;0;0;0;0;
2018-02-06 10:40:46;25.04066;25;25;25;0.8071915;0.8072875;1.190021;43.89533;;;0;0;0;0;0;0;18.58035;37.5;0;0;0;0;0;
2018-02-06 10:41:46;25.01848;25;25;25;0.9510964;0.9382482;1.355633;52.77038;;;0;0;0;0;0;0;18.582;37.53125;0;0;0;0;0;
2018-02-06 10:42:46;24.98073;25;25;25;1.165976;1.164266;1.647484;66.53636;;;0;0;0;0;0;0;18.61235;37.40625;0;0;0;0;0;
2018-02-06 10:43:46;24.96944;25;25;25;1.116067;1.078073;1.532441;63.42151;;;0;0;0;0;0;0;18.60988;37.4375;0;0;0;0;0;
2018-02-06 10:44:46;25.01741;25;25;25;1.007509;1.00271;1.430452;56.26992;;;0;0;0;0;0;0;18.59834;37.5;0;0;0;0;0;
2018-02-06 10:45:46;24.972;25;25;25;0.9988441;0.9968319;1.410424;56.03273;;;0;0;0;0;0;0;18.59834;37.34375;0;0;0;0;0;
2018-02-06 10:46:46;25.05342;25;25;25;0.6659315;0.6821093;0.9869779;35.49371;;;0;0;0;0;0;0;18.5706;37.21875;0;0;0;0;0;
2018-02-06 10:47:46;24.9731;25;25;25;0.9668679;0.9573444;1.337336;54.04436;;;0;0;0;0;0;0;18.58296;37.0625;0;0;0;0;0;
2018-02-06 10:48:46;24.97099;25;25;25;0.921564;0.9419152;1.302502;51.27369;;;0;0;0;0;0;0;18.5831;36.84375;0;0;0;0;0;
2018-02-06 10:49:46;25.01509;25;25;25;0.6187626;0.615965;0.8743544;33.02508;;;0;0;0;0;0;0;18.56895;36.875;0;0;0;0;0;
2018-02-06 10:50:46;25.01848;25;25;25;0.5927171;0.5927244;0.8404984;31.51182;;;0;0;0;0;0;0;18.57472;36.6875;0;0;0;0;0;
2018-02-06 10:51:46;25.00993;25;25;25;0.5608624;0.561007;0.7941703;29.75647;;;0;0;0;0;0;0;18.57651;36.59375;0;0;0;0;0;
